{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8233376792698825, 'test_acc': 0.7705882}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8270045632333768, 'test_acc': 0.7705882}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8375977835723598, 'test_acc': 0.81764704}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.8543024771838331, 'test_acc': 0.87647057}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8558507170795306, 'test_acc': 0.81764704}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8609843546284224, 'test_acc': 0.8117647}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.8871414602346805, 'test_acc': 0.84117645}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8877118644067796, 'test_acc': 0.8117647}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8884452411994784, 'test_acc': 0.87058824}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.8886897001303781, 'test_acc': 0.88235295}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.8897490221642763, 'test_acc': 0.84705883}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.889993481095176, 'test_acc': 0.84705883}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.8982235984354628, 'test_acc': 0.82941175}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.9016460234680573, 'test_acc': 0.87647057}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9023794002607561, 'test_acc': 0.87647057}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9026238591916558, 'test_acc': 0.87647057}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9036016949152542, 'test_acc': 0.88235295}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9040091264667536, 'test_acc': 0.87647057}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9040906127770534, 'test_acc': 0.87647057}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9045795306388527, 'test_acc': 0.86470586}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9049054758800521, 'test_acc': 0.89411765}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.9053943937418514, 'test_acc': 0.88235295}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9058018252933507, 'test_acc': 0.87647057}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9065352020860495, 'test_acc': 0.87058824}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9076760104302477, 'test_acc': 0.8882353}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.9089797913950457, 'test_acc': 0.84117645}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9093057366362451, 'test_acc': 0.87647057}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9110169491525424, 'test_acc': 0.88235295}
{'param': {'epochs': 400, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9124022164276402, 'test_acc': 0.86470586}
{'param': {'epochs': 700, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.9125651890482398, 'test_acc': 0.88235295}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 256, 256), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9132170795306389, 'test_acc': 0.8882353}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9149282920469362, 'test_acc': 0.88235295}
{'param': {'epochs': 200, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9153357235984355, 'test_acc': 0.87058824}
{'param': {'epochs': 300, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.03}, 'test_auc': 0.9154986962190352, 'test_acc': 0.86470586}
{'param': {'epochs': 600, 'num_features': 7, 'num_classes': 2, 'neurons': (1024, 1024, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9168839634941329, 'test_acc': 0.87058824}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (256, 512, 1024), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.930003259452412, 'test_acc': 0.8882353}
{'param': {'epochs': 500, 'num_features': 7, 'num_classes': 2, 'neurons': (512, 512, 512), 'drop_out': 0.1, 'lr': 0.01}, 'test_auc': 0.9345664928292047, 'test_acc': 0.89411765}
